date,author,title,tags
20-Oct-20,Shekhar Parnerkar and Pooja Sankpal,Four Steps for Migrating from Hive 2.x to 3.x,Cdp
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 2): Snowflake Healthcheck,Snowflake
25-Sep-20,Shekhar Parnerkar,Make The Most Of Your Azure Data Factory Pipelines,Azure
26-Aug-20,Kelly Kohlleffel,How To Get Rid of Data Integration Option Fatigue in Just 10 Minutes,Cloud Computing
14-Aug-20,Senthil Anandarangan & Ganesh Hegde,Using Starburst Presto to Federate SQL Queries Across Multiple Data Sources,Presto
9-Jul-20,Venkat Sekar,How to Integrate SQL Databases with Snowflake Using AWS Glue,Snowflake
12-Jun-20,Kieran Healey & Senthil Anandarangan,ADF Snowflake Connector: A Bit Underbaked,Azure Data Factory
30-Apr-20,Prakash Bharathi & Kelly Kohlleffel,"Talking Data, the Cloud, Matillion, and Snowflake",Matillion
22-Apr-20,Randy Pitcher,Snowflake Cheatsheet | 3 Approaches to Creating Users,Guide
15-Apr-20,Yu Fai Wong,Moving On-Prem Oracle Databases to Snowflake,Migration
20-Feb-20,Kieran Healey,#Tech in 5 Real-Time Architecture,IoT
30-Jan-20,Kieran Healey,Snowflake Azure Storage Integration,Storage Integration
29-Jan-20,John Aven,Snowflake Anti-Patterns: The Probable Data Scientist,Snowflake Computing
10-Jan-20,Kieran Healey,#Tech in 5 Snowflake & Dask,Snowflake
7-Jan-20,John Aven,Evolving Data Science,Machine Learning
29-Sep-21,Kedar Waval,Snowflake External Tables Quick Setup Guide,AWS
1-Sep-21,Hashmap,"Creating a Modern SQL Notebook with Oliver Hughes, Co-Founder & CEO of Count",Cloud Computing
9-Aug-21,Venkat Sekar,Cataloging Metadata in Snowflake with SnowCAT,Snowcat
28-Jul-21,Chinmayee Lakkad,Why You Should Use Snowflake's External Tables,Data
19-Jul-21,Hashmap,Behind the Scenes of Our 2021 Cloud Data Platform Benchmarking & Analysis,Cloud Computing
9-Jul-21,Venkat Sekar,Using AWS SAM to Develop Snowflake External Functions,AWS Lambda
24-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Cloud Computing
22-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 2,Data Monitoring
16-Jun-21,Hashmap,Everything You Missed at Snowflake Summit 2021,Analytics
9-Jun-21,George Luft,Bring Your Code to the Snowflake Data Cloud with Snowpark,Snowpark
26-May-21,Venkat Sekar,How to Perform a UNION Operation in Snowflake on Tables with Mismatched Columns,Data
19-May-21,Hashmap,Change Data Capture & Hashmap Data Cataloger (hdc),Change Data Capture
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 1,Data Migration
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 1,Gke
2-Feb-21,Archit Pandita,Exploring Builder and Factory Design Patterns,Design Patterns
27-Jan-21,Laurent Weichberger,HDP 3 (AWS) Cluster Migration to CDP Public Cloud on MS Azure,Cdp
25-Jan-21,Archit Pandita,Getting Started with Snowflake Using Python,Snowflake
15-Jan-21,Sam Kohlleffel,Cloudy Warehouses Simplifying Snowflake & pandas DataFrames Interaction,Pandas
12-Jan-21,Sergey Gershkovich & Kelly Kohlleffel,Transitioning from SAP BW to Snowflake,Snowflake
8-Jan-21,Preetpal Singh,Migrating from Oracle Exadata by Modernizing with Snowflake,Snowflake
4-Jan-21,The Hashmap Team,"A New Journey Starts for Hashmap, an NTT DATA Company",Cloud Computing
11-Dec-20,The Hashmap Team,NTT DATA Services Announces Intent to Acquire Hashmap,Cloud Computing
3-Dec-20,Mohini Kalamkar,How to Put the Azure Data Factory (ADF) Snowflake Connector to Use,Snowflake
19-Nov-20,John Aven,"Building ML Pipelines
What is a DAG?",Prefect
5-Nov-20,John Aven,Why I Love MLflow,Mlflow
16-Oct-20,Mohini Kalamkar,5 Steps to Converting Python Jobs to PySpark,Pandas
6-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3: Snowflake Healthcheck,Data
21-Sep-20,Sam Kohlleffel,How We Automated Snowflake Data Profiler,Snowflake Data Profiler
24-Aug-20,Randy Pitcher,Your Mega Guide to the 3 Stages of Netezza to Snowflake Migrations,Cloud Computing
13-Aug-20,Yu Fai Wong,dbt Orchestration in Azure DevOps Pipelines,Cloud Computing
30-Jun-20,Venkat Sekar,Unit Testing on dbt Models Using a Static Test Dataset in Snowflake,Snowflake
12-Jun-20,Luke Kline,7 Core Tenets to Know Before You Develop Data & Analytics Products,Data
28-Apr-20,Venkat Sekar,Housekeeping in Snowflake with SQL and DBT,Dbt
21-Apr-20,Venkat Sekar,Data Materialization in Snowflake Using Confluent Kafka Connect: Part 2,Cloud Computing
20-Mar-20,Venkat Sekar,3 Steps to Find Access Patterns in Snowflake Using Hierarchical Queries,Snowflake
13-Feb-20,Venkat Sekar,How to Query Snowflake Using Azure Functions with Node.js,Cloud Computing
30-Jan-20,John Aven,Snowflake Solution Anti-Patterns: Spark is My Hammer,Data
28-Jan-20,Kelly Kohlleffel,3 Best Practices for On-Prem to Snowflake,Cloud
7-Jan-20,John Aven,Deploying Machine Learning Solutions,Machine Learning
6-Jan-20,Chinmayee Lakkad,Schema Unification with Snowflake,Dbt
27-Sep-21,Hashmap,"Perspectives on Data Value and Data Catalogs with Castor Co-Founder & CEO, Tristan Mayer",Data
25-Aug-21,Hashmap,Delivering an AI-Driven Approach to Analytics with Cindi Howson of ThoughtSpot,Analytics
5-Aug-21,Archit Pandita,Optimizing ADF Pipelines for Data Ingestion,Azure Data Factory
23-Jul-21,Hashmap,Improving Snowflake Data Quality with SnowDQ,Data Quality
16-Jul-21,Hashmap,SqlDBM: No Code Data Modeling for Cloud Data Warehouses with Anna Abramova,Cloud Computing
7-Jul-21,Hashmap,Answers to 5 Common Snowflake Questions,Analytics
23-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Data
21-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 1,Data Monitoring
16-Jun-21,Hashmap,Hashmap Wins Snowflake's Ski Lift Content Competition for the 2nd Straight Year,Cloud Computing
1-Jun-21,Hashmap,"The Origins and Future of Fivetran with George Fraser
Hashmap on Tap, Ep. 74",Dbt
